ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030672	synaptic vesicle membrane	2/2	102/19659	2.66575843536716e-05	0.000346548596597731	NA	SYT1/SYT12	2
GO:0099501	exocytic vesicle membrane	2/2	102/19659	2.66575843536716e-05	0.000346548596597731	NA	SYT1/SYT12	2
GO:0008021	synaptic vesicle	2/2	180/19659	8.33728759343139e-05	0.000557222693935361	NA	SYT1/SYT12	2
GO:0070382	exocytic vesicle	2/2	197/19659	9.99128952692653e-05	0.000557222693935361	NA	SYT1/SYT12	2
GO:0030658	transport vesicle membrane	2/2	204/19659	0.000107158210372185	0.000557222693935361	NA	SYT1/SYT12	2
GO:0030133	transport vesicle	2/2	381/19659	0.000374634543071693	0.00162341635331067	NA	SYT1/SYT12	2
GO:0098793	presynapse	2/2	482/19659	0.00059991726574684	0.00222826412991683	NA	SYT1/SYT12	2
GO:0060198	clathrin-sculpted vesicle	1/2	12/19659	0.00122047332908692	0.0039665383195325	NA	SYT1	1
GO:0031045	dense core granule	1/2	19/19659	0.00193207195192002	0.00558154119443562	NA	SYT1	1
GO:0098686	hippocampal mossy fiber to CA3 synapse	1/2	32/19659	0.00325293947220828	0.00792883812972917	NA	SYT1	1
GO:0030285	integral component of synaptic vesicle membrane	1/2	33/19659	0.0033545084395008	0.00792883812972917	NA	SYT1	1
GO:0098563	intrinsic component of synaptic vesicle membrane	1/2	46/19659	0.00467443406882573	0.00905806928349825	NA	SYT1	1
GO:0031201	SNARE complex	1/2	47/19659	0.00477593058296721	0.00905806928349825	NA	SYT1	1
GO:0060076	excitatory synapse	1/2	48/19659	0.00487742192188367	0.00905806928349825	NA	SYT1	1
GO:0030665	clathrin-coated vesicle membrane	1/2	107/19659	0.0108562507695883	0.018817501333953	NA	SYT1	1
GO:0044306	neuron projection terminus	1/2	138/19659	0.0139904498777096	0.0227344810512781	NA	SYT1	1
GO:0042734	presynaptic membrane	1/2	161/19659	0.0163126095947713	0.0249447428348931	NA	SYT1	1
GO:0030662	coated vesicle membrane	1/2	174/19659	0.0176239236495732	0.0249447428348931	NA	SYT1	1
GO:0030136	clathrin-coated vesicle	1/2	180/19659	0.0182288505331911	0.0249447428348931	NA	SYT1	1
GO:0031301	integral component of organelle membrane	1/2	204/19659	0.0206466949866367	0.0268407034826278	NA	SYT1	1
GO:0031300	intrinsic component of organelle membrane	1/2	226/19659	0.0228604337384082	0.0283033941523149	NA	SYT1	1
GO:0030135	coated vesicle	1/2	280/19659	0.0282835365672685	0.0334259977613173	NA	SYT1	1
GO:0030667	secretory granule membrane	1/2	295/19659	0.029787275840754	0.033672572689548	NA	SYT1	1
GO:0098984	neuron to neuron synapse	1/2	342/19659	0.034491451928077	0.0367026651700124	NA	SYT1	1
GO:0098978	glutamatergic synapse	1/2	350/19659	0.035291024201935	0.0367026651700124	NA	SYT1	1
GO:0097060	synaptic membrane	1/2	431/19659	0.0433680393759693	0.0433680393759693	NA	SYT1	1
