ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0097449	astrocyte projection	1/7	12/19659	0.0042656853457459	0.0346892912812748	0.0150356061281067	SLC7A11	1
GO:0016324	apical plasma membrane	2/7	308/19659	0.00487767078158737	0.0346892912812748	0.0150356061281067	SLC3A2/SLC7A5	2
GO:0045177	apical part of cell	2/7	373/19659	0.00707881880780378	0.0346892912812748	0.0150356061281067	SLC3A2/SLC7A5	2
GO:0097386	glial cell projection	1/7	23/19659	0.00816218618382936	0.0346892912812748	0.0150356061281067	SLC7A11	1
