ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005769	early endosome	2/3	341/19659	0.000889675664666265	0.0185043919748729	0.00626088450277656	DNAJC13/BACE1	2
GO:0010008	endosome membrane	2/3	462/19659	0.00162755103378783	0.0185043919748729	0.00626088450277656	DNAJC13/BACE1	2
GO:0071203	WASH complex	1/3	13/19659	0.00198261342587924	0.0185043919748729	0.00626088450277656	DNAJC13	1
GO:0098686	hippocampal mossy fiber to CA3 synapse	1/3	32/19659	0.00487556275841106	0.0341289393088774	0.0115473854804472	BACE1	1
GO:0005771	multivesicular body	1/3	45/19659	0.00685172456763217	0.0383696575787401	0.0129822149702504	BACE1	1
GO:0035577	azurophil granule membrane	1/3	58/19659	0.0088252684109118	0.0411845859175884	0.0139346343330186	DNAJC13	1
