ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006390	mitochondrial transcription	1/1	14/18493	0.000757043205537156	0.00378521602768578	NA	TFAM	1
GO:0000959	mitochondrial RNA metabolic process	1/1	40/18493	0.00216298058724917	0.00540745146812294	NA	TFAM	1
GO:0033108	mitochondrial respiratory chain complex assembly	1/1	95/18493	0.00513707889471682	0.00856179815786136	NA	TFAM	1
GO:0140053	mitochondrial gene expression	1/1	159/18493	0.00859784783431572	0.0107473097928946	NA	TFAM	1
GO:0006352	DNA-templated transcription, initiation	1/1	248/18493	0.0134104796409453	0.0134104796409453	NA	TFAM	1
